               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11721,            0.054623,                   0,           0.0038889,             0.22581,           0.0054851,           0.0021231,             0.11733,             0.02475,                   0,              0.0919,              0.0009,              0.0009
                   1,             0.11235,            0.053829,                   0,           0.0039286,             0.53226,            0.018615,           0.0052368,             0.11004,            0.021049,                   0,            0.082891,           0.0018906,           0.0018906
                   2,             0.10602,            0.059639,                   0,             0.12785,             0.14516,            0.050281,            0.014396,             0.10186,             0.01914,                   0,            0.073871,           0.0028713,           0.0028713
                   3,            0.099265,            0.056625,                   0,             0.16121,             0.13335,            0.079745,             0.02921,             0.09251,            0.019037,                   0,            0.064842,           0.0038421,           0.0038421
                   4,            0.094693,             0.07288,                   0,             0.24285,             0.19355,             0.12469,             0.03457,            0.087296,            0.018703,                   0,            0.055803,            0.004803,            0.004803
                   5,            0.089702,            0.068817,                   0,             0.18196,             0.23325,             0.11952,            0.033572,            0.082364,            0.019327,                   0,            0.046754,            0.005754,            0.005754
                   6,            0.088309,            0.067666,                   0,              0.2081,             0.24194,             0.14008,            0.046634,            0.081108,            0.018227,                   0,            0.037695,           0.0066951,           0.0066951
                   7,            0.086487,            0.072604,                   0,             0.24254,             0.29032,             0.20287,            0.060496,            0.078474,            0.019159,                   0,            0.028626,           0.0076263,           0.0076263
                   8,            0.083238,            0.070532,                   0,             0.20678,             0.27419,             0.14155,             0.04728,            0.079293,            0.020452,                   0,            0.019548,           0.0085476,           0.0085476
                   9,            0.082235,            0.071111,                   0,              0.1865,             0.42154,              0.1766,            0.065876,            0.076523,            0.022526,                   0,            0.010459,            0.009459,            0.009459
                  10,            0.080877,            0.068592,                   0,             0.17689,             0.35484,             0.13809,            0.047788,            0.078519,            0.026791,                   0,            0.009505,            0.009505,            0.009505
                  11,            0.076868,            0.067219,                   0,            0.070035,              0.3871,            0.067009,            0.017222,            0.075237,             0.03072,                   0,            0.009505,            0.009505,            0.009505
                  12,            0.078192,            0.069183,                   0,            0.091802,             0.12903,            0.043964,            0.015482,            0.075732,            0.036011,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.076461,            0.071299,                   0,             0.17732,             0.17742,            0.096634,             0.03198,            0.072305,            0.045738,                   0,            0.009406,            0.009406,            0.009406
